id,reference,name,category,category_id,price,cost_price,stock,active,supplier_id
7cde5453-322a-4db6-9b00-c315dc69f56e,REF-86126,Cafe Premium 250g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,24.9,11.5,189,0,aaabe0c7-b036-4136-b29f-e991b7dddd90
29a9e8db-6ad8-401c-bb67-fe312321caec,REF-97054,The Vert Bio,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,6.5,3.8,192,1,bf10f591-87be-485f-8a43-4140433b628a
324a464e-c79b-45f8-aa06-8b79a9b74997,REF-37618,Miel Montagne 500g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,12.0,7.0,234,1,a426fc73-f014-4ec2-a467-83e4ccf462da
d843aeb4-680c-4613-8710-e9a66cd933ee,REF-37879,Huile Olive 1L,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,14.5,8.9,244,1,bf10f591-87be-485f-8a43-4140433b628a
9599ec1e-da60-4caa-9dd9-934d27bb5865,REF-42326,Chocolat Noir 200g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,4.2,2.4,403,1,53671c04-7929-47ec-986c-0acdbd40539e
e1c1d613-5938-41a1-bf3f-856b675f620a,REF-56211,Pates Artisanales 500g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,3.8,2.1,458,0,aaabe0c7-b036-4136-b29f-e991b7dddd90
510db9b3-f3eb-4880-b8c9-6a2ca4832010,REF-88362,Riz Basmati 1kg,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,5.9,3.4,321,0,d22409ba-11bc-4a38-8623-b4f17cf3b3b2
d5fe0efe-667c-4122-8758-53fef4ac6d3d,REF-54336,Saumon Fume 100g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,9.5,5.8,219,0,aaabe0c7-b036-4136-b29f-e991b7dddd90
176fc13c-276f-4a59-a334-81647b64335f,REF-63297,Fromage AOP 200g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,11.0,6.5,368,1,2bc24073-8d10-4b5e-a280-429e862ede9a
49b860d3-8db0-4bec-9423-a58cf287af26,REF-50756,Confiture Artisanale 350g,Alimentation,c16a9852-046d-4167-9fb9-976ef9b52e9a,7.2,4.2,299,0,aaabe0c7-b036-4136-b29f-e991b7dddd90
3c9d9490-d8b2-4232-8727-54e2009847e8,REF-58717,Creme Hydratante 50ml,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,18.9,9.5,112,1,a426fc73-f014-4ec2-a467-83e4ccf462da
a8dfdf6e-d009-4d54-b453-8171273c44eb,REF-24336,Shampooing Keratine 300ml,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,13.5,7.2,94,0,aaabe0c7-b036-4136-b29f-e991b7dddd90
c74c07e9-8e5d-47b2-955e-01d12a25de99,REF-89823,Parfum Floral 50ml,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,45.0,22.0,326,1,d22409ba-11bc-4a38-8623-b4f17cf3b3b2
98e84593-be19-46b8-8ed0-e67dbb6f98a1,REF-96702,Serum Vitamine C 30ml,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,32.0,16.0,49,1,aaabe0c7-b036-4136-b29f-e991b7dddd90
d6506210-2f3d-477e-af3e-7b05ed5e8193,REF-27314,Dentifrice Blancheur,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,6.8,3.5,107,0,a426fc73-f014-4ec2-a467-83e4ccf462da
78eb7e80-11d7-4b1c-ab14-c86b0293c0f4,REF-59028,Deodorant Bio 75ml,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,8.9,4.8,343,0,aaeab3f4-6976-4ddd-9a7d-4f576dcbc607
f32a9b7e-2b33-4534-838c-15f252413c12,REF-75927,Apres-rasage Bois,Hygiene & Beaute,bd799a6b-aed4-4c93-badc-95614a125d64,22.0,11.5,105,1,aaabe0c7-b036-4136-b29f-e991b7dddd90
