id,order_id,product_id,product_name,category,quantity,unit_price,discount_pct,line_total
9ac3982c-ae0b-4726-9e6f-69692b562d96,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,c8626acb-92f1-4e4c-8274-e69f2a894a9a,Chaussettes Laine x3,Vetements Homme,4,16.9,5,64.22
f9bbb26c-5702-4985-9b05-5bdc65a9063d,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,917ba3a4-8989-45bc-81c6-8bc0f0ede246,Rouge a Levres Mat,Hygiene & Beaute,3,19.0,0,57.0
a2cada45-cfc4-4417-b515-a67994a0a2fd,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,1c6a443f-f113-4ea5-9a1d-b88b11a124fa,Gants Fitness M,Sport & Plein air,1,18.9,10,17.01
a0b1844c-1bbf-475a-8da4-7421843482a4,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,7cde5453-322a-4db6-9b00-c315dc69f56e,Cafe Premium 250g,Alimentation,4,24.9,10,89.64
54701659-c159-4654-a3e6-9ff9ca36979d,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,cc93cc31-9fee-4ed3-a125-f60cbf8b292f,Bougies LED x6,Maison & Jardin,4,19.9,5,75.62
2863ef45-738d-48a8-b759-a10169efbcde,3abbac4f-9372-437e-bb05-8eb04cb5d8d5,98e84593-be19-46b8-8ed0-e67dbb6f98a1,Serum Vitamine C 30ml,Hygiene & Beaute,4,32.0,10,115.2
cf0a7351-2bbd-4224-ba7b-2e391f97c65d,9b1e2add-c466-4ef3-b866-af0517bcfdde,b000e5a6-5167-4c6b-9616-3330fce1b1e8,Batterie Externe 20000mAh,Electronique,1,39.9,10,35.91
fdaf0dad-9a39-4dad-b9b0-ed8c8b338302,9b1e2add-c466-4ef3-b866-af0517bcfdde,da597ed2-e788-4c91-9c98-bb0d45fb5d78,Marque-pages x10,Librairie & Culture,3,7.9,0,23.7
bfaed3ec-36ec-454f-a95a-d602934b7d7f,9b1e2add-c466-4ef3-b866-af0517bcfdde,b69bbc53-072e-4c83-a233-44678e884b11,Top Basique x2 T40,Vetements Femme,4,29.9,0,119.6
56475436-bfc5-4265-b0d0-7170a17a4fa1,a42123e6-08f6-4e94-8eac-66a5dcc701c5,4be4bb9e-1bc2-42b6-b5cb-175be7b68d66,Webcam Full HD,Electronique,2,79.9,0,159.8
